BASC	DC_C18	Mast_C17	Ciliated.cells-C7	Fibroblasts-C6	Prolifirating.Mac_C16	CD8_C15	Clara-C5	Endothelial.cells-C4	GaDelT_C14	B.cells_C13	Plasma.cells_C12	Clara-C3	AT2-C2	Mac.DC_C11	CD4_C10	Plasma.cells_C9	AT2-C1	AT2-C0	Mac_C8	CD4_C7	CD4_C6	Neutrophil_C5	NK.cells_C4	Mono_C3	B.cells_C2	CD8_C1	CD8_C0
ANKRD65	0	0	0	0.255006618108593	0	0	0	0.16750176908544	0	0	0	0	0.220970842659509	0	0	0	0	0	0.124962867851034	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0.283723885487539	0.277978406134643	0	0	0	0.264976138517451	0.147848861411521	0	0	0	0.0341220215959227	0.271879560058118	0	0	0	0	0	0	0	0	0
ATAD3C	0.0488136272120035	0	0	0	0	0	0	0.205295923212015	0	0	0	0	0.239492524440101	0.0776950538749002	0	0	0	0	0.192038363825631	0	0	0	0	0	0	0	0	0
ATAD3B	0.15467380096176	0.137661869618724	0	0	0	0	0	0	0	0	0	0	0.191319174567239	0.163321706645599	0	0	0	0	0.218714245938477	0	0	0	0	0	0	0	0	0
ATAD3A	0.264456297127404	0	0	0	0	0.301993410622475	0	0	0	0.0486607366243247	0	0	0.0611858967013771	0.0947453103066836	0	0	0	0	0.137502170813281	0	0	0	0	0	0	0	0	0
SSU72	0.230432834246911	0.0373654939297832	0	0	0	0.338854367801381	0	0.13548031996352	0	0	0	0	0.115455088439391	0.211577910997244	0	0	0	0	0.257484693419067	0.117578824694155	0	0	0	0	0	0	0	0
AL645728.1	0	0.0448210470117916	0	0.057608730030721	0	0.136181966347008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583281344433618	0	0	0.0318300568554457	0	0.0942687422799664	0	0	0
FNDC10	0.0365541643998944	0	0	0	0	0.112345364673354	0	0.0758070516758325	0	0	0	0	0.0493112092087268	0	0	0	0	0	0	0.0648843507455389	0	0	0	0	0	0	0	0
AL691432.2	0	0	0	0	0	0	0.0340226605061586	0.0750524958507251	0	0	0	0	0.0793265327499099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIB2	0	0	0	0.0732584149983076	0	0	0	0.111626825406259	0.0359667111553817	0	0	0	0.0574252927387008	0.0439027921763272	0	0	0	0	0.10315597994486	0	0	0	0	0	0	0	0	0
MMP23B	0	0	0	0	0.197503100514547	0	0	0	0	0	0	0	0.0688413704654657	0	0	0	0	0	0.0803478716927476	0	0	0	0	0	0	0	0	0
CDK11B	0.199819759673559	0	0	0	0	0.220525362693711	0	0	0.0331019026118713	0.134392689713672	0	0	0.0309653280829174	0.198508035783283	0	0	0	0	0.0805781110072314	0.0476640484833603	0	0	0.047851867647743	0	0.0797055632045554	0	0	0
SLC35E2B	0	0	0	0.0689912163067318	0	0.118349437239954	0	0.103382011091909	0	0	0	0	0.405351196020559	0.0728009692139558	0	0	0.0395131407355143	0	0.266411020583039	0	0	0	0	0	0	0	0	0
CDK11A	0	0.17219563408157	0	0	0	0.196416627703311	0	0	0	0.179456298504627	0	0	0	0.0536578842812999	0	0	0	0	0.0958913905058205	0.0621680334493021	0	0	0	0	0.110312227126726	0	0	0
SLC35E2A	0	0	0	0.166884942086057	0	0.0943850613539904	0	0.0396683002287032	0	0	0	0	0.254045536047171	0.105723843944546	0	0	0	0	0.21623230665059	0.0300924586114937	0	0	0	0	0	0	0	0
NADK	0.180107015180498	0.0610457615650048	0	0	0	0.258130379518094	0	0	0	0	0	0	0.265946188940651	0.241617182105595	0	0	0	0	0.289622465368567	0.126360389650784	0	0	0	0	0.163463746522816	0	0	0
GNB1	0	0.71332123097748	0	0	0	0.748188084101652	0	0	0.181290925124209	0.271700176864722	0	0	0.424845378124527	0.238689579816188	0	0	0	0	0.342786077890411	0.301539517742659	0	0	0.222393664383477	0	0.240348658731501	0	0	0
CFAP74	0	0	0	0.613356304138997	0	0	0	0	0	0	0	0.0645611040365387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	0.14691924281415	0	0	0.361616675289481	0	0	0	0.662963055023287	0	0	0	0	0.759602693912698	0.306361550990157	0	0	0	0	0.48948039359065	0	0	0	0	0	0	0	0	0
FAAP20	0	0.0911161594996432	0	0.09489575519417	0	0	0	0.148425887037939	0.0407446498684741	0.0620318954156371	0	0	0.237007466354086	0.237666470090452	0.0316609944874404	0	0	0	0.198558938998462	0	0	0	0	0	0	0	0	0
AL590822.1	0.0610163408392991	0	0	0.0439504559699862	0	0	0	0.15080188767767	0	0	0	0	0.0479343194820419	0.091376427493353	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	0	0	0.0983297562921863	0	0.127772490988804	0.481024246147348	0	0.145083955458511	0.155611901926483	0	0	0	0.126305896006618	0.148477245427482	0	0	0	0	0	0.207283953780224	0	0.0356699479893991	0	0.185560769912972	0.0989722451896465	0	0.0660625972110931	0.0313988430651748
AL590822.3	0	0	0	0.0665558569033638	0	0	0	0.064287076969798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MORN1	0.0532722329902922	0	0	0.584823742205869	0	0.049507582638705	0	0	0	0	0	0	0.277210222038565	0.171560957740702	0	0	0	0	0.191131619157746	0	0	0	0	0	0	0	0	0
RER1	0.152455229573442	0.146808942577308	0	0	0	0.286255891346477	0	0	0	0.0580587749503474	0	0	0.138637738733916	0.249507931774159	0	0	0	0	0.27736852952022	0.096553564480565	0	0	0	0	0.0397202017734303	0	0	0
PEX10	0.0958573749105608	0	0	0	0	0.0819507165083122	0	0.0724064853950062	0	0	0	0	0.115558648726751	0.163004320756996	0	0	0	0	0.145965070802247	0.0495456276846381	0	0	0	0	0	0	0	0
PLCH2	0	0	0	0.0529617911547823	0	0	0	0	0	0	0	0	0	0.093506988849684	0	0	0	0	0.079574686615935	0	0	0	0	0.0577774530494285	0	0	0	0
PANK4	0.0489546595803193	0	0	0	0	0.157230904594993	0	0	0	0	0	0	0.032883180770745	0.0381509858097669	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.5	0	0	0	0.0370157844516028	0	0.0741724195837902	0	0	0	0	0	0	0.0405350474709477	0	0	0	0	0	0	0	0	0	0.0366165780687741	0.0328539918610922	0	0	0	0
TNFRSF14-AS1	0	0	0.0373584517709131	0.0973334825029139	0	0.131095174608785	0	0	0	0	0	0	0	0	0	0	0.0459478884890436	0	0.0322369730898212	0	0	0	0	0	0.0752393962468861	0	0	0
TNFRSF14	0	0.0324735890234593	0	0	0	0.335624414620788	0	0	0	0	0	0	0	0.0772006415779883	0	0	0	0	0.125586049224695	0.149655510580506	0	0	0.098841495224429	0	0.396417440082186	0	0	0
AL139246.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0599941850338206	0	0	0	0	0	0	0	0	0	0	0.0537123164950439	0	0	0
PRXL2B	0	0	0	0.0303193363649378	0	0	0	0.0585667768633188	0.0711738863037984	0	0	0	0.107736391409628	0	0	0	0	0	0.155424762581071	0	0	0	0	0	0.034897387146395	0	0	0
MMEL1	0.100255601713327	0	0	0	0	0	0	0	0	0	0	0	0.071114720989355	0	0.041488861480752	0	0	0	0.071426372816616	0	0	0	0	0	0	0	0	0
TTC34	0	0	0	0.618885830304757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16-DT	0	0	0	0.0347024781210077	0	0	0	0.0668963888475683	0	0	0	0	0.15272714593945	0	0	0	0	0	0.0688931003340682	0	0	0	0	0	0	0	0	0
PRDM16	0.405562122270509	0	0	0.28729720490757	0	0	0	0.758243838846934	0	0	0	0	0.774790098279593	0	0	0	0	0	0.471534412890797	0	0	0	0	0	0	0	0	0
ARHGEF16	0.218412418993567	0	0	0	0	0	0	0.116338656337901	0	0	0	0	0.212564457082335	0.366715859247179	0	0	0	0.0346683056890811	0.243890404497958	0	0	0	0	0	0	0	0	0
MEGF6	0.144574317863413	0	0	0	0.269981220772111	0	0	0.273772984445917	0	0	0	0	0.464748266544682	0.0349903148434971	0	0	0	0	0.295451589335556	0	0	0	0	0	0	0	0	0
TPRG1L	0	0.103382595953601	0	0	0	0.031549165601212	0	0.0716065105019265	0	0	0	0	0.0558677726424155	0.0353578599973435	0	0	0	0	0.0918896188468057	0.128197313453902	0	0	0	0	0.0354081707233353	0	0	0
WRAP73	0.0609554749935671	0	0	0	0	0.201965317029884	0	0	0	0.0605496124291736	0	0	0.082453607534733	0	0	0	0	0	0.0698567326316184	0.0507649259262078	0	0	0	0	0	0	0	0
TP73	0.296736397828589	0	0	0.370930659714433	0	0	0	0	0	0.172745718975328	0	0.0362000840596684	0	0	0	0	0.0633245940809271	0	0	0	0	0	0	0	0	0	0	0
SMIM1	0	0	0	0	0	0	0	0.0787279376000299	0	0	0	0	0.155523739573402	0.0575943049832956	0.117579923557031	0	0	0.049623466511038	0.125336881261158	0	0	0	0	0	0	0	0	0
LRRC47	0	0	0	0	0	0	0	0	0	0.0725272457189229	0	0	0.115542941149099	0.0685259259623019	0	0	0	0	0.164212735433989	0.0959388348852112	0	0	0	0	0	0	0	0
CEP104	0	0	0	0.181889182332449	0	0.146425715873785	0	0	0	0	0	0	0.256167551525064	0.120264216922434	0	0	0	0	0.29028553697201	0.113379499796465	0	0	0	0	0	0	0	0
DFFB	0	0	0	0	0.035951234669429	0.0343455097254731	0	0	0	0	0	0	0.0648626065383387	0.0481890082058208	0	0	0	0	0	0.101510676535061	0	0	0	0	0.0389193154017632	0	0	0
C1orf174	0.08900267299352	0	0	0	0	0.209463549500919	0	0	0	0	0	0	0	0	0	0	0	0	0.0353167926402711	0.0840441529865643	0	0	0	0	0.0302685448702922	0	0	0
LINC01134	0.125702554287591	0	0	0	0	0.0458586128981558	0	0	0	0	0	0	0	0	0	0	0	0	0.0359482043463258	0	0	0	0	0	0	0	0	0
AJAP1	0.0374511684089078	0	0	0.261021961741311	0.0858206358332121	0	0	0	0	0	0	0.0819983028067682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0.0479315698767824	0	0	0	0	0	0	0.137404165677696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	0.499345002090008	0	0	0.530311300241431	0	0.306713548529991	0	0	0	0	0	0	0.301830277072835	0.245664003636118	0	0	0	0	0.135056132478671	0.0440295596457422	0	0	0	0	0	0	0	0
KCNAB2	0	0	0	0	0	0.923723627156361	0	0	0	0.31047949505263	0	0	0	0	0	0	0	0	0	0.639419783748236	0	0	0.504450099407913	0	0.542299399406841	0	0.0519682185742058	0
CHD5	0	0	0	0	0	0	0	0.0511391273667369	0	0	0	0.0663035475060439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL22	0.0846793992403572	0.543084621932201	0	0	0	0.638725831555154	0	0.376568941651843	0	0	0	0	0.340962602638575	0.0749654738844228	0.285693487862168	0	0	0	0.276913196195558	0.293056772285149	0	0	0	0	0	0	0	0
RNF207	0.273668553144869	0	0	0	0.0603198894260275	0	0	0.0958090290158508	0	0	0	0	0.365316182053095	0.319797674107613	0	0	0	0.0389882759836954	0.291057558964764	0	0	0	0	0	0	0	0	0
ICMT	0.0938321598597671	0	0	0.0626433563890157	0	0.365503673788451	0	0	0	0	0	0	0.0631436257665556	0.246785395076574	0	0	0	0	0.158189403338754	0.0725588205839158	0	0	0	0	0	0	0	0
GPR153	0	0.159998682817517	0	0	0.0875587466812132	0.117080560615475	0	0	0	0	0	0	0	0	0	0	0	0	0.0583698306563905	0.092266954562676	0	0	0	0	0	0	0	0
ACOT7	0.0453668278727267	0.0658677421256272	0	0	0	0.467784811710846	0	0.0364858104590409	0	0.322341541433337	0	0	0.0547175518405968	0.0863475694145629	0	0	0	0	0	0.213344388968328	0	0	0	0	0	0	0	0
AL031848.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES2	0	0	0	0.173821596525723	0	0.0397689071350695	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0576442979203773	0	0	0	0	0.0434064412528655	0	0	0
ESPN	0.0872753205168538	0	0	0.414724729671233	0	0	0	0	0	0	0	0	0.212811053199649	0.187488484470032	0	0	0	0	0.12612590682635	0	0	0	0	0	0	0	0	0
TNFRSF25	0	0	0.184116720738299	0	0	0	0.248681654213505	0	0	0	0	0	0	0.0891304635810123	0	0.233982650368744	0	0	0.0310411062774083	0	0.158508216502942	0.209786441466084	0	0	0	0	0.0544853318010863	0
PLEKHG5	0	0	0	0.0924090757381753	0	0	0	0	0.132091051230866	0	0	0	0.179037826715507	0.179657712500918	0	0	0	0	0.117588851621497	0	0	0	0	0	0	0	0	0
NOL9	0	0	0	0.065693310827781	0	0.168774956144409	0	0.0960901278039549	0.053044528797897	0.0338025284950898	0	0	0.201831708171745	0.134045032467487	0	0	0	0	0.14400936257718	0	0	0	0	0	0	0	0	0
TAS1R1	0.0678108602975629	0	0	0	0	0	0	0	0	0	0	0.0536533126971189	0.100757480888672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	0	0	0	0	0	0.233205061864523	0	0.0317217103734139	0	0	0	0	0.113117826647871	0.199652337962401	0	0	0	0	0.062763914238984	0.0616054650958024	0	0	0	0	0.0308017341747823	0	0	0
KLHL21	0.0615331888937134	0.0541919493539488	0	0.0869553480685291	0	0	0	0.091301517288613	0	0	0	0	0.147454997715059	0	0	0	0.0592688597618832	0	0.0951577906442374	0	0	0	0	0	0.0849558726419472	0	0	0
PHF13	0.0450617409892461	0	0	0	0.0677698094237393	0.182779960449209	0	0.163407929451537	0	0	0	0	0.109263658823901	0	0	0	0	0	0.110602352420656	0	0	0	0	0	0	0	0	0
THAP3	0.112176553173143	0	0	0	0	0	0	0.0365840104144546	0	0	0	0	0.0402421659409147	0.0377273013710221	0	0	0.0909434350437163	0	0.0616804613793112	0	0	0	0	0	0.0341702386129275	0	0	0
DNAJC11	0.0473890921466931	0	0	0.0682659201635852	0	0.317658206698814	0	0	0	0	0	0	0.241039582087862	0.171395125692904	0	0	0	0	0.202249692744646	0.0948259487303725	0	0	0	0	0.0625963711082618	0	0	0
CAMTA1-DT	0.130084397367922	0	0	0	0	0.137054978547933	0	0	0	0	0	0	0.105464839152346	0.0318173062116747	0	0	0	0	0.0960039069200495	0.0312561460022688	0	0	0	0	0.0725592460976133	0	0	0
CAMTA1	0.271146662725089	0.382539082920126	0	0.0510030790552157	0.0329852076221094	0.441053572013866	0	0.342866837001708	0.276717245170782	0	0	0	0.708689743967446	0.218590325882009	0	0	0	0	0.531657705548798	0.229343381376753	0	0	0	0	0.0795899935933875	0	0	0
VAMP3	0	0.0461099777447144	0	0.0310866142184891	0	0.508682417078716	0	0.058301991930653	0.0321120798803722	0	0	0	0.100368451624759	0.112270729486386	0	0	0	0	0.223607074379024	0.334759282441194	0	0	0.0470419471844219	0	0.163407335394655	0	0	0
PER3	0	0	0	0.369686519093858	0.177870533734546	0.42490772571698	0	0.558156034011796	0.0697674416598384	0	0	0	0.705251748712815	0.245234656029052	0	0	0	0	0.584141009646813	0.0845031638122719	0	0	0	0	0.340159797675166	0	0	0
Z98884.1	0	0	0	0	0	0.0716427922714759	0	0.133364689025658	0	0	0	0	0.0592674701328702	0	0	0	0	0	0.0435222667709921	0	0	0	0	0	0	0	0	0
UTS2	0.0481197298141235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0493198922903196	0	0	0	0	0	0	0
TNFRSF9	0	0.11332513404708	0	0	0	0	0	0.0954989462287399	0	0.325964016421655	0	0	0	0	0	0	0	0	0	0	0.325765320537402	0	0	0.035680362969881	0	0	0.206073384185296	0
PARK7	0.0864861358503837	0.129370275391328	0	0.0688844951365402	0	0.283826628600588	0	0.247918852308593	0	0.1859344778557	0	0	0.241269995042651	0.234287550255405	0.206789363941453	0	0	0	0.308386468639836	0.079497435978846	0	0	0	0	0	0	0	0
AL034417.4	0.147395588266148	0	0	0	0	0	0	0.339811537458555	0	0	0	0	0.193714887388124	0.141600091307741	0	0	0	0.0726255027251792	0.259452376675575	0	0	0	0	0	0	0	0	0
AL034417.3	0.170275595884064	0	0	0	0	0	0	0.466883480422359	0	0	0	0	0.347330053239307	0.259128791539248	0	0	0	0.0795646343519753	0.330425890993476	0	0	0	0	0	0	0	0	0
ERRFI1	1	0	0	0.686224252996973	0	0	0	1	0	0	0	0	1	1	0.0686850547806712	0	0	0.535724589848224	1	0	0	0	0	0	0	0	0	0
AL034417.2	0.378369857547409	0	0	0.043575859619812	0	0	0	0.350068683569262	0	0	0	0	0.389609009300483	0.37558379259864	0	0	0	0.0517765471016072	0.332447222256561	0	0	0	0	0	0	0	0	0
LINC01714	0	0	0	0.0413468791926462	0	0.0464348188612925	0	0	0	0	0	0	0	0.0593040174543727	0	0	0	0	0.0498639060984128	0	0	0	0	0	0.0724984012890386	0	0	0
SLC45A1	0	0	0	0	0.0384483611766079	0	0	0	0.0386939603206547	0	0	0	0	0.0393431990273813	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RERE	0.911559698126119	0	0.0858356022743457	1	0	1	0	1	0.419529693847574	0	0.652596349812213	0	1	0.933676295496403	0	0	0	0.10485781944008	1	0.380282162156032	0	0	0	0	0.133173377683779	0	0	0
RERE-AS1	0	0	0	0.0682492862445034	0	0	0	0	0	0	0	0	0.0419493761296401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENO1	0.416953403065408	0.497273928398569	0	0	0	0.825159241528272	0	0.477369474360701	0	0	0	0	0.388721458619054	0	0.245116920149895	0	0	0.084201657894859	0.404166684707898	0.443155178158695	0	0	0.237886563707685	0	0.331493624364806	0	0	0
SLC2A5	0	0.314726303889738	0	0	0	0.0460077650424355	0	0	0	0.138118505670571	0.0731699442242117	0.0317581785207224	0	0	0	0	0.291635502976887	0	0	0	0	0	0	0	0.111878099262001	0	0	0
GPR157	0	0.855380103174292	0	0	0	0.0348216952784	0	0.0352293724842083	0	0	0	0	0.142851095928399	0.0370654388057227	0	0	0	0	0.139008672196425	0	0	0	0.114119762629518	0	0.039900840646705	0	0	0
MIR34AHG	0.314933674195184	0.204495831755653	0	0.255828127720474	0.0765338308623087	0.295807696505797	0	0.05088711037758	0	0	0	0	0.482480646568405	0.139926396433307	0	0	0	0	0.357722951531071	0.234365117139781	0	0	0	0	0.413946474628122	0	0	0
LNCTAM34A	0.0748641581033421	0	0	0	0.0593080238102505	0	0	0	0	0	0	0	0.163709955245834	0	0	0	0	0	0.0550371240363549	0.0689635435180599	0	0	0	0	0.0388918908530973	0	0	0
H6PD	0.120155824497103	0.172851765659373	0	0.102445886825938	0	0.111976080991158	0	0.111635204210679	0	0	0	0	0.214713890739559	0.464132819772399	0	0	0	0	0.325959472954116	0.20080934725504	0	0	0	0	0.0317663072920788	0	0	0
SPSB1	0.579616119199649	0	0	0.365169663580577	0.390670388067188	0	0	0.643586189538059	0.205615342342971	0	0	0	0.793405927464911	0.61425324303326	0	0	0	0.075119451180052	0.583022089990353	0	0	0	0	0	0	0	0	0
LINC02606	0	0	0	0	0	0	0	0	0	0	0	0	0.133181638919435	0	0	0	0	0	0.036587104372664	0	0	0	0	0	0	0	0	0
SLC25A33	0	0.345540750177098	0	0.0359352213956822	0.055279685160104	0.156144822339255	0	0.309652618797141	0	0	0	0	0.430792976502419	0.555620616905558	0	0	0	0	0.330751397423138	0.0321026285517445	0	0	0.0622468251416869	0	0.147276120666558	0	0	0
TMEM201	0.0480349296850448	0.0464933442494966	0	0	0	0.0718937046031219	0	0	0	0	0	0	0.03514006600336	0	0	0	0	0	0.0455521731586495	0	0	0	0	0	0	0	0	0
PIK3CD	0	0	0	0	0	0.438247529581771	0	0	0	0.237727686491732	0.130463927839656	0.0738521780054768	0	0	0	0	0	0	0	0	0	0.0911427514434208	0	0.171799022213874	0	0	0.17524065535796	0.0850044309478137
PIK3CD-AS2	0.0465281888084023	0	0	0	0	0	0	0	0	0	0	0	0.0851496423194101	0	0.0553444136235978	0	0	0	0.0635223677365207	0	0	0	0	0	0	0	0	0
CLSTN1	0	0.150663355091274	0	0.368344496695728	0	0.234449444729539	0	0.066143495776491	0	0.132827813029126	0	0	0.431464023285694	0.386052369419396	0	0	0	0	0.386611014679801	0	0	0	0	0	0	0	0	0
CTNNBIP1	0.0389832719725339	0.0502849058950266	0	0	0	0.257909421674189	0	0.354417950178883	0	0	0	0	0.688534305626185	0.133068798427784	0	0	0	0	0.462479873284087	0.0316452635299086	0	0	0	0	0	0	0	0
